Month,Product_Category,Coupon_Code,Discount_pct
Jan,Apparel,SALE10,10
Feb,Apparel,SALE20,20
Mar,Apparel,SALE10,10
Apr,Apparel,SALE10,10
May,Apparel,SALE30,30
Jun,Apparel,SALE20,20
Jul,Apparel,SALE15,15
Aug,Apparel,SALE30,30
Sep,Apparel,SALE25,25
Oct,Apparel,SALE25,25
Nov,Apparel,SALE25,25
Dec,Apparel,SALE15,15
Jan,Bags,SALE5,5
Jan,Drinkware,SALE5,5
Jan,Headgear,SALE25,25
Jan,Lifestyle,SALE20,20
Jan,Nest-USA,SALE25,25
Jan,Notebooks,SALE5,5
Jan,Office,SALE20,20
Feb,Bags,SALE10,10
Feb,Drinkware,SALE5,5
Feb,Headgear,SALE20,20
Feb,Lifestyle,SALE20,20
Feb,Nest-USA,SALE15,15
Feb,Notebooks,SALE25,25
Feb,Office,SALE15,15
Mar,Bags,SALE15,15
Mar,Drinkware,SALE25,25
Mar,Headgear,SALE25,25
Mar,Lifestyle,SALE20,20
Mar,Nest-USA,SALE20,20
Mar,Notebooks,SALE30,30
Mar,Office,SALE15,15
Apr,Bags,SALE10,10
Apr,Drinkware,SALE15,15
Apr,Headgear,SALE25,25
Apr,Lifestyle,SALE15,15
Apr,Nest-USA,SALE25,25
Apr,Notebooks,SALE30,30
Apr,Office,SALE15,15
May,Bags,SALE15,15
May,Drinkware,SALE30,30
May,Headgear,SALE25,25
May,Lifestyle,SALE10,10
May,Nest-USA,SALE25,25
May,Notebooks,SALE5,5
May,Office,SALE10,10
Jun,Bags,SALE10,10
Jun,Drinkware,SALE10,10
Jun,Headgear,SALE10,10
Jun,Lifestyle,SALE5,5
Jun,Nest-USA,SALE15,15
Jun,Notebooks,SALE10,10
Jun,Office,SALE5,5
Jul,Bags,SALE15,15
Jul,Drinkware,SALE30,30
Jul,Headgear,SALE25,25
Jul,Lifestyle,SALE15,15
Jul,Nest-USA,SALE20,20
Jul,Notebooks,SALE10,10
Jul,Office,SALE30,30
Aug,Bags,SALE5,5
Aug,Drinkware,SALE20,20
Aug,Headgear,SALE20,20
Aug,Lifestyle,SALE20,20
Aug,Nest-USA,SALE30,30
Aug,Notebooks,SALE25,25
Aug,Office,SALE10,10
Sep,Bags,SALE30,30
Sep,Drinkware,SALE5,5
Sep,Headgear,SALE20,20
Sep,Lifestyle,SALE5,5
Sep,Nest-USA,SALE25,25
Sep,Notebooks,SALE15,15
Sep,Office,SALE15,15
Oct,Bags,SALE25,25
Oct,Drinkware,SALE5,5
Oct,Headgear,SALE20,20
Oct,Lifestyle,SALE5,5
Oct,Nest-USA,SALE15,15
Oct,Notebooks,SALE5,5
Oct,Office,SALE5,5
Nov,Bags,SALE10,10
Nov,Drinkware,SALE25,25
Nov,Headgear,SALE15,15
Nov,Lifestyle,SALE20,20
Nov,Nest-USA,SALE15,15
Nov,Notebooks,SALE10,10
Nov,Office,SALE30,30
Dec,Bags,SALE15,15
Dec,Drinkware,SALE15,15
Dec,Headgear,SALE25,25
Dec,Lifestyle,SALE20,20
Dec,Nest-USA,SALE30,30
Dec,Notebooks,SALE5,5
Dec,Office,SALE25,25
