Date,Offline_Spend,Online_Spend
1/1/2019,4500,2424.5
1/2/2019,4500,3480.36
1/3/2019,4000,2971.21
1/4/2019,4500,1549.34
1/5/2019,5000,1775.55
1/6/2019,5500,2405.17
1/7/2019,3000,2734.95
1/8/2019,2500,2110.93
1/9/2019,3000,4401.56
1/10/2019,3000,1215.52
1/11/2019,4000,5198.35
1/12/2019,4000,2889.3
1/13/2019,3000,2871.01
1/14/2019,3500,5277.33
1/15/2019,4000,1612.84
1/16/2019,3000,6558.68
1/17/2019,5500,5789.24
1/18/2019,4500,5034.86
1/19/2019,3000,3665.81
1/20/2019,4500,2503.89
1/21/2019,3000,6468.79
1/22/2019,5500,2024.97
1/23/2019,2500,2162.35
1/24/2019,3500,4651.26
1/25/2019,5500,4501.4
1/26/2019,3500,3747.09
1/27/2019,4000,5194.33
1/28/2019,5000,3534.55
1/29/2019,3500,4102.74
1/30/2019,4000,3739.0
1/31/2019,4500,1431.19
2/1/2019,4000,5460.3
2/2/2019,4500,2652.13
2/3/2019,2500,2527.76
2/4/2019,5000,6048.56
2/5/2019,4500,4605.31
2/6/2019,2500,6997.52
2/7/2019,5000,5964.24
2/8/2019,4500,1433.34
2/9/2019,5500,2216.11
2/10/2019,4500,4978.76
2/11/2019,3500,2252.64
2/12/2019,4500,3728.13
2/13/2019,5500,4052.01
2/14/2019,2500,3926.06
2/15/2019,4000,3133.19
2/16/2019,5000,1806.68
2/17/2019,3000,3112.86
2/18/2019,5000,4073.72
2/19/2019,5000,6682.12
2/20/2019,5500,5610.9
2/21/2019,2500,3837.99
2/22/2019,3500,2663.91
2/23/2019,2500,6827.07
2/24/2019,4000,6216.48
2/25/2019,5500,6931.09
2/26/2019,5000,6242.33
2/27/2019,4000,3596.84
2/28/2019,3000,4206.95
3/1/2019,4500,5587.37
3/2/2019,5000,3763.84
3/3/2019,2500,2380.64
3/4/2019,4500,1959.88
3/5/2019,3500,3741.07
3/6/2019,5000,4011.33
3/7/2019,2500,6844.25
3/8/2019,4500,5836.02
3/9/2019,5000,2118.59
3/10/2019,4500,1279.31
3/11/2019,4000,1740.61
3/12/2019,5500,6494.99
3/13/2019,4000,6692.95
3/14/2019,5000,6026.43
3/15/2019,4000,6609.39
3/16/2019,3500,4151.46
3/17/2019,3500,3609.84
3/18/2019,4000,6885.42
3/19/2019,3000,3849.36
3/20/2019,3000,3424.8
3/21/2019,4500,4147.8
3/22/2019,3000,6211.36
3/23/2019,3500,5681.52
3/24/2019,5500,3606.67
3/25/2019,5500,4144.88
3/26/2019,5500,1214.88
3/27/2019,5000,2931.62
3/28/2019,4500,4563.56
3/29/2019,5000,4039.91
3/30/2019,3000,3789.97
3/31/2019,4000,3201.72
4/1/2019,4500,5624.66
4/2/2019,4000,3841.0
4/3/2019,3500,6243.69
4/4/2019,5000,2585.07
4/5/2019,4000,2554.66
4/6/2019,5500,3582.5
4/7/2019,3500,5519.29
4/8/2019,5000,6497.89
4/9/2019,4000,3439.26
4/10/2019,5000,5795.88
4/11/2019,5000,6888.75
4/12/2019,4000,6795.98
4/13/2019,3000,4113.29
4/14/2019,4500,3125.57
4/15/2019,2500,6270.3
4/16/2019,4000,1778.33
4/17/2019,4000,1289.02
4/18/2019,3000,3577.88
4/19/2019,5000,6825.75
4/20/2019,2500,3923.05
4/21/2019,3500,3163.66
4/22/2019,5000,3505.4
4/23/2019,2500,6140.24
4/24/2019,5500,5111.27
4/25/2019,4500,3404.05
4/26/2019,3500,4835.44
4/27/2019,5500,4030.1
4/28/2019,4500,1408.21
4/29/2019,2500,2561.67
4/30/2019,5000,6541.39
5/1/2019,3000,5531.24
5/2/2019,4000,6874.36
5/3/2019,5500,4875.74
5/4/2019,5500,1782.94
5/5/2019,3000,5225.21
5/6/2019,2500,1466.75
5/7/2019,5500,1525.49
5/8/2019,3500,3374.08
5/9/2019,3000,2616.35
5/10/2019,4000,4482.38
5/11/2019,5500,2244.33
5/12/2019,3000,1658.02
5/13/2019,5500,3418.76
5/14/2019,5000,2596.81
5/15/2019,4500,2030.08
5/16/2019,4000,4899.85
5/17/2019,4000,2680.89
5/18/2019,2500,6413.67
5/19/2019,4000,6427.01
5/20/2019,5000,4370.27
5/21/2019,2500,3762.03
5/22/2019,3500,6928.38
5/23/2019,3500,4905.84
5/24/2019,4000,5203.82
5/25/2019,4000,6102.76
5/26/2019,3000,6996.37
5/27/2019,5500,4002.61
5/28/2019,3000,3411.91
5/29/2019,3500,4533.91
5/30/2019,5000,2912.34
5/31/2019,5500,5017.73
6/1/2019,3500,1246.97
6/2/2019,5500,5177.64
6/3/2019,5000,6846.9
6/4/2019,4500,5522.0
6/5/2019,5500,6444.1
6/6/2019,3500,5699.3
6/7/2019,3000,4720.98
6/8/2019,3500,2470.23
6/9/2019,3000,4801.17
6/10/2019,5000,5582.35
6/11/2019,5500,5023.25
6/12/2019,5500,1993.32
6/13/2019,2500,6439.74
6/14/2019,5000,1428.65
6/15/2019,5500,3756.77
6/16/2019,4500,3316.2
6/17/2019,3000,1722.77
6/18/2019,3500,3094.97
6/19/2019,4000,2218.71
6/20/2019,3000,5761.77
6/21/2019,3500,4278.94
6/22/2019,3500,6016.74
6/23/2019,3500,6501.48
6/24/2019,4000,6810.83
6/25/2019,3500,5530.04
6/26/2019,3500,5864.55
6/27/2019,4000,6784.78
6/28/2019,3000,5574.08
6/29/2019,3000,6188.82
6/30/2019,5000,5111.56
7/1/2019,4000,6810.16
7/2/2019,5500,4432.41
7/3/2019,2500,5785.96
7/4/2019,2500,2733.86
7/5/2019,2500,3837.76
7/6/2019,5000,5544.27
7/7/2019,3500,4590.45
7/8/2019,5500,4903.59
7/9/2019,3500,1828.41
7/10/2019,3000,3934.57
7/11/2019,4500,6328.56
7/12/2019,4500,3102.44
7/13/2019,4500,2483.93
7/14/2019,2500,4885.34
7/15/2019,4000,6474.45
7/16/2019,3500,4965.59
7/17/2019,2500,2010.71
7/18/2019,2500,2965.31
7/19/2019,4000,1873.5
7/20/2019,3000,6346.1
7/21/2019,3000,3454.15
7/22/2019,3500,5088.82
7/23/2019,5000,5239.61
7/24/2019,4500,3630.94
7/25/2019,5000,5414.28
7/26/2019,4000,4998.55
7/27/2019,5500,4038.21
7/28/2019,4000,6646.51
7/29/2019,3500,1389.75
7/30/2019,3500,2460.16
7/31/2019,4000,6713.22
8/1/2019,5500,3303.58
8/2/2019,5000,3330.54
8/3/2019,5000,3280.31
8/4/2019,4000,2800.11
8/5/2019,2500,6704.26
8/6/2019,5500,3837.36
8/7/2019,5000,2430.21
8/8/2019,5000,4663.45
8/9/2019,2500,1493.36
8/10/2019,3500,2612.7
8/11/2019,3000,5764.47
8/12/2019,3000,1597.94
8/13/2019,5500,4414.41
8/14/2019,4500,2452.52
8/15/2019,5500,2551.39
8/16/2019,5500,2055.81
8/17/2019,4500,1216.45
8/18/2019,5500,6907.36
8/19/2019,3000,4333.25
8/20/2019,5500,2212.08
8/21/2019,5000,6225.4
8/22/2019,3000,1286.19
8/23/2019,5500,5772.9
8/24/2019,4500,3077.87
8/25/2019,3000,2739.13
8/26/2019,3000,5501.96
8/27/2019,4500,1859.17
8/28/2019,2500,3962.23
8/29/2019,5500,3299.83
8/30/2019,4500,1832.51
8/31/2019,4500,2484.99
9/1/2019,4500,1451.52
9/2/2019,5500,6470.76
9/3/2019,5000,4224.42
9/4/2019,4000,4931.38
9/5/2019,2500,1552.79
9/6/2019,4000,6114.33
9/7/2019,4000,5179.37
9/8/2019,4000,5331.93
9/9/2019,4000,1626.25
9/10/2019,2500,3068.25
9/11/2019,3000,1580.96
9/12/2019,3500,4821.04
9/13/2019,4500,4380.47
9/14/2019,3500,3409.25
9/15/2019,4500,4277.23
9/16/2019,4000,4132.2
9/17/2019,4000,1775.24
9/18/2019,5000,1863.6
9/19/2019,5000,4975.32
9/20/2019,5500,4397.74
9/21/2019,5500,2447.13
9/22/2019,4000,6350.93
9/23/2019,4000,3165.8
9/24/2019,4000,3512.64
9/25/2019,5000,1751.5
9/26/2019,4000,3012.64
9/27/2019,3500,3370.95
9/28/2019,3000,5183.56
9/29/2019,4000,1589.37
9/30/2019,5500,1695.11
10/1/2019,4000,1760.07
10/2/2019,5000,3361.35
10/3/2019,3000,4426.95
10/4/2019,4500,6748.42
10/5/2019,4500,3111.95
10/6/2019,2500,3582.69
10/7/2019,5500,5058.98
10/8/2019,5500,3653.03
10/9/2019,5000,1498.39
10/10/2019,3500,4682.38
10/11/2019,3500,1800.88
10/12/2019,4500,2433.89
10/13/2019,5000,3996.7
10/14/2019,5500,1827.67
10/15/2019,5500,4426.34
10/16/2019,2500,5623.11
10/17/2019,4500,2511.72
10/18/2019,4000,6101.9
10/19/2019,5500,5946.88
10/20/2019,4500,5114.86
10/21/2019,4500,1352.27
10/22/2019,5000,6010.87
10/23/2019,3500,1367.93
10/24/2019,3500,5275.65
10/25/2019,3500,6544.92
10/26/2019,3500,1235.41
10/27/2019,5500,2030.86
10/28/2019,5000,3524.55
10/29/2019,3000,5497.62
10/30/2019,2500,1732.19
10/31/2019,4500,2447.77
11/1/2019,4000,3831.15
11/2/2019,3000,3346.31
11/3/2019,5000,3081.42
11/4/2019,4500,4658.1
11/5/2019,2500,2102.36
11/6/2019,5500,4783.46
11/7/2019,5000,1673.17
11/8/2019,4000,5039.24
11/9/2019,4000,4721.04
11/10/2019,4000,2784.37
11/11/2019,5500,4171.61
11/12/2019,3500,3693.5
11/13/2019,3500,5133.66
11/14/2019,4500,4022.47
11/15/2019,5000,2988.83
11/16/2019,3000,3492.53
11/17/2019,4500,1517.74
11/18/2019,3000,2948.23
11/19/2019,3000,5650.63
11/20/2019,5500,2682.01
11/21/2019,3500,1895.91
11/22/2019,4000,5532.68
11/23/2019,3000,1949.28
11/24/2019,4500,5281.29
11/25/2019,4500,4440.6
11/26/2019,5000,5875.96
11/27/2019,2500,3503.01
11/28/2019,5000,1445.35
11/29/2019,2500,3866.57
11/30/2019,2500,6200.24
12/1/2019,4500,3689.85
12/2/2019,4000,5315.09
12/3/2019,4000,2879.19
12/4/2019,4000,1320.97
12/5/2019,3500,2196.86
12/6/2019,4500,3868.56
12/7/2019,5000,6534.66
12/8/2019,2500,3732.93
12/9/2019,2500,2611.24
12/10/2019,4500,3522.61
12/11/2019,2500,3495.45
12/12/2019,3500,5525.67
12/13/2019,3000,3131.8
12/14/2019,3000,1643.0
12/15/2019,5000,1861.35
12/16/2019,4500,2324.64
12/17/2019,5500,3226.38
12/18/2019,5000,6757.7
12/19/2019,5000,5927.21
12/20/2019,3000,1796.27
12/21/2019,3500,2344.18
12/22/2019,4500,2086.64
12/23/2019,5500,5001.95
12/24/2019,3000,6717.49
12/25/2019,5000,4065.88
12/26/2019,5500,4469.67
12/27/2019,4500,3803.65
12/28/2019,4500,4929.35
12/29/2019,4500,3074.61
12/30/2019,5000,3033.61
12/31/2019,4000,1596.06
