CustomerID,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status
17850,16679,20190101,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used
17850,16680,20190101,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used
45697,16681,20190630,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,1,8.99,0,Used
56105,16682,20190527,GGOEGOLC014299,Google Leather Journal,Office,3,19.99,12.99,Used
30379,16683,20191101,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,12.99,Clicked
57400,16684,20190819,GGOEGBRJ037299,Google Backpack,Bags,2,79.99,7.99,Used
16590,16685,20190819,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,5,8.99,0,Clicked
32241,16686,20190330,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,Clicked
15229,16687,20191109,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,1,18.99,5.99,Not Used
14207,16688,20190623,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,2,119.0,0,Not Used
64496,16689,20191013,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,12.99,Clicked
18907,16690,20190318,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,4.99,Not Used
42662,16691,20191202,GGOEGOLC013299,Google Small Notebook,Notebooks,1,6.99,0,Not Used
89415,16692,20190712,GGOEGEFR024199,Google Sunglasses,Lifestyle,2,9.99,12.99,Clicked
23434,16693,20190927,GGOEGOLC014299,Google Leather Journal,Office,2,19.99,7.99,Not Used
89507,16694,20190705,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,4,23.99,5.99,Not Used
84593,16695,20190426,GGOEGAAX0037,Google Mens Vintage Badge Tee Black,Apparel,1,19.99,12.99,Used
99192,16696,20191004,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,12.99,Clicked
41499,16697,20191102,GGOEGOLC013299,Google Small Notebook,Notebooks,1,6.99,12.99,Clicked
72070,16698,20191116,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,6.5,Not Used
84847,16699,20190502,GGOEGHPJ080110,Google Beanie,Headgear,2,16.99,12.99,Not Used
89507,16700,20191001,GGOEGBRJ037299,Google Backpack,Bags,4,79.99,12.99,Not Used
97153,16701,20190708,GGOEGHPJ080110,Google Beanie,Headgear,2,16.99,12.99,Not Used
79352,16702,20190928,GGOEGOLC013299,Google Small Notebook,Notebooks,3,6.99,12.99,Clicked
51245,16703,20190509,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,5.99,Clicked
19099,16704,20191231,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,1,8.99,4.99,Not Used
47353,16705,20190920,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,1,18.99,4.99,Not Used
10464,16706,20190114,GGOEGOLC013299,Google Small Notebook,Notebooks,1,6.99,5.99,Used
37742,16707,20190211,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,0,Clicked
35995,16708,20190621,GGOEGAAX0037,Google Mens Vintage Badge Tee Black,Apparel,1,19.99,12.99,Not Used
34931,16709,20190313,GGOEGHPJ080110,Google Beanie,Headgear,2,16.99,0,Used
33206,16710,20190421,GGOEGAAX0358,Google Hoodie Grey,Apparel,4,49.99,7.99,Clicked
30257,16711,20190226,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,1,23.99,0,Used
42092,16712,20191124,GGOEGHPB071610,Google Cap Black,Headgear,1,14.99,6.5,Clicked
56105,16713,20190109,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,6.5,Used
32431,16714,20190630,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,9.99,Clicked
84593,16715,20190926,GGOEGEFR024199,Google Sunglasses,Lifestyle,4,9.99,7.99,Clicked
44335,16716,20191011,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,199.0,0,Clicked
55745,16717,20190711,GGOEGDHC018299,Google Travel Tumbler,Drinkware,1,18.99,12.99,Used
22156,16718,20190504,GGOEGOLC014299,Google Leather Journal,Office,2,19.99,5.99,Used
86099,16719,20190630,GGOEGETR013999,Google Yoga Mat,Lifestyle,1,29.99,12.99,Clicked
12260,16720,20191223,GGOEGHPB071610,Google Cap Black,Headgear,3,14.99,0,Clicked
30379,16721,20190823,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,199.0,12.99,Used
25157,16722,20190611,GGOEGDHC018299,Google Travel Tumbler,Drinkware,1,18.99,12.99,Clicked
59692,16723,20190510,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,5.99,Used
69087,16724,20190619,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,2,23.99,6.5,Not Used
48752,16725,20190814,GGOEGOLC014599,Google Large Notebook,Notebooks,5,11.99,6.5,Clicked
64496,16726,20190708,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,2,23.99,0,Not Used
81066,16727,20190403,GGOEGDHQ015399,Google Ceramic Mug,Drinkware,1,12.99,5.99,Clicked
35313,16728,20190606,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,6.5,Not Used
82357,16729,20190122,GGOEGETR013999,Google Yoga Mat,Lifestyle,5,29.99,5.99,Clicked
23947,16730,20190208,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,9.99,Clicked
24371,16731,20190116,GGOEGAAX0358,Google Hoodie Grey,Apparel,2,49.99,6.5,Used
87236,16732,20190204,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,6.5,Clicked
39831,16733,20191106,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,5.99,Not Used
17685,16734,20190209,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,5.99,Clicked
44335,16735,20190508,GGOEGDHC074099,Google Pen White,Office,2,1.5,6.5,Clicked
87110,16736,20191015,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,2,8.99,9.99,Not Used
74686,16737,20191110,GGOEGDHC018299,Google Travel Tumbler,Drinkware,4,18.99,6.5,Used
59735,16738,20190311,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,1,8.99,9.99,Not Used
19545,16739,20191216,GGOEGETR013999,Google Yoga Mat,Lifestyle,1,29.99,0,Clicked
57576,16740,20190529,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,2,23.99,9.99,Clicked
71993,16741,20190705,GGOEGBMJ013399,Google Tote Bag,Bags,5,12.99,12.99,Used
10726,16742,20190910,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,199.0,5.99,Not Used
43386,16743,20190308,GGOEGDHC074099,Google Pen White,Office,1,1.5,9.99,Clicked
15209,16744,20190927,GGOEGOLC014599,Google Large Notebook,Notebooks,3,11.99,0,Used
24371,16745,20191125,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,1,8.99,7.99,Not Used
74686,16746,20191010,GGOEGAAX0037,Google Mens Vintage Badge Tee Black,Apparel,1,19.99,12.99,Used
77391,16747,20190923,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,1,18.99,5.99,Clicked
73092,16748,20190627,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,1,23.99,9.99,Clicked
74042,16749,20190306,GGOEGDHC018299,Google Travel Tumbler,Drinkware,1,18.99,7.99,Clicked
91416,16750,20191031,GGOEGAAX0037,Google Mens Vintage Badge Tee Black,Apparel,2,19.99,9.99,Clicked
19880,16751,20191016,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,9.99,Clicked
48752,16752,20191130,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,9.99,Used
89415,16753,20191118,GGOEGDHC018299,Google Travel Tumbler,Drinkware,4,18.99,6.5,Used
70332,16754,20190727,GGOEGDHQ015399,Google Ceramic Mug,Drinkware,1,12.99,0,Used
84668,16755,20190801,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,7.99,Used
42662,16756,20190613,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,1,2.99,5.99,Clicked
95649,16757,20190224,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,5.99,Not Used
30257,16758,20190314,GGOEGDHC074099,Google Pen White,Office,1,1.5,6.5,Clicked
31643,16759,20190508,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,4,18.99,9.99,Not Used
14165,16760,20190323,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,5.99,Not Used
81200,16761,20190216,GGOEGOLC014599,Google Large Notebook,Notebooks,4,11.99,4.99,Clicked
12671,16762,20190125,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,199.0,12.99,Clicked
60432,16763,20190829,GGOEGDHC018299,Google Travel Tumbler,Drinkware,1,18.99,0,Not Used
76162,16764,20190516,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,1,2.99,6.5,Used
84593,16765,20191015,GGOEGBRJ037299,Google Backpack,Bags,1,79.99,0,Not Used
14207,16766,20190819,GGOEGDHC018299,Google Travel Tumbler,Drinkware,2,18.99,0,Used
80686,16767,20190721,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,1,2.99,5.99,Used
51441,16768,20191105,GGOEGOLC013299,Google Small Notebook,Notebooks,1,6.99,4.99,Clicked
97782,16769,20190831,GGOEGHPB071610,Google Cap Black,Headgear,2,14.99,7.99,Used
16572,16770,20191110,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,7.99,Clicked
15383,16771,20191031,GGOEGETR013999,Google Yoga Mat,Lifestyle,3,29.99,7.99,Not Used
12671,16772,20191016,GGOEGDHQ015399,Google Ceramic Mug,Drinkware,3,12.99,5.99,Not Used
31632,16773,20190226,GGOEGOLC014599,Google Large Notebook,Notebooks,2,11.99,9.99,Clicked
42406,16774,20190114,GGOEGHPJ080110,Google Beanie,Headgear,4,16.99,12.99,Clicked
65057,16775,20190427,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,7.99,Clicked
30861,16776,20191114,GGOEGOLC013299,Google Small Notebook,Notebooks,3,6.99,4.99,Used
66985,16777,20191225,GGOEGDHC074099,Google Pen White,Office,1,1.5,5.99,Not Used
87656,16778,20190731,GGOEGBRJ037299,Google Backpack,Bags,1,79.99,7.99,Not Used
43386,16779,20190201,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,5.99,Clicked
37938,16780,20190927,GGOEGOLC014599,Google Large Notebook,Notebooks,4,11.99,6.5,Clicked
66179,16781,20191007,GGOEGETR013999,Google Yoga Mat,Lifestyle,2,29.99,9.99,Clicked
33053,16782,20191221,GGOEGDHC018299,Google Travel Tumbler,Drinkware,1,18.99,4.99,Not Used
